bench,class,tool,tool_version,variant,mode,period_ns,timing_status,wns_ns,wns_reg2reg_ns,timing_basis,data_path_ns,critical_endpoint,num_cells,num_seq,retime_named_regs,area_um2,routed_wirelength_um,postroute_wns_ns,achieved_density_pct,path_route_share_pct,path_cell_delay_ns,path_net_delay_ns,max_route_layer,place_blockage_frac,power_mw,power_switching_mw,power_register_mw,power_logic_mw,power_clock_mw,power_sequential_mw,power_combinational_mw,power_mode,num_lut,num_ff,runtime_total_s,wall_seconds,sdc_sha1,git_commit
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,1.58,VIOLATED,-1.321,,,2.214,retime_s1_19_reg/D,980,99,99,47047.855297250004,,,,,,,,,204.08399999999997,75.6636,76.2425,120.01,7.832280000000001,,,probabilistic,,,48,56.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,1.97,VIOLATED,-1.019,,,2.394,retime_s1_30_reg/D,950,99,99,45674.7641275,,,,,,,,,172.68200000000002,64.5577,62.5865,103.81400000000001,6.2817300000000005,,,probabilistic,,,42,50.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,2.46,VIOLATED,-0.53,,,2.395,retime_s1_18_reg/D,869,99,99,43555.591815499996,,,,,,,,,136.23499999999999,48.9128,51.158,80.0468,5.03049,,,probabilistic,,,37,46.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,3.08,MET,0.0,,,2.783,retime_s2_8_reg/D,400,48,48,20551.255549999998,,,,,,,,,56.3263,19.852700000000002,19.852,34.526300000000006,1.94805,,,,,,16,25.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,3.16,MET,0.0,,,2.508,retime_s1_5_reg/D,396,48,48,20215.65386325,,,,,,,,,52.847699999999996,18.5553,18.858,32.0909,1.89873,,,,,,17,26.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,3.31,MET,0.0,,,2.655,retime_s1_5_reg/D,346,48,48,18197.8229675,,,,,,,,,46.5139,15.3049,17.6364,27.064799999999998,1.8126900000000001,,,,,,15,23.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,3.6,MET,0.0,,,3.318,retime_s2_5_reg/D,323,48,48,17299.77980025,,,,,,,,,41.427600000000005,13.2728,16.1409,23.6201,1.66667,,,probabilistic,,,17,26.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,3.62,MET,0.012,,,2.968,retime_s1_5_reg/D,322,48,48,17173.9558245,,,,,,,,,41.132799999999996,13.0974,15.966000000000001,23.5093,1.65746,,,,,,15,23.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,4.25,MET,0.007,,,3.588,retime_s1_6_reg/D,283,40,40,15325.06593225,,,,,,,,,31.363599999999998,10.0147,11.9519,18.2352,1.17647,,,,,,14,24.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,4.8,MET,0.025,,,4.126,retime_s1_4_reg/D,268,45,45,15121.330314750001,,,,,,,,,27.707900000000002,7.9039,11.3174,15.2187,1.17187,,,probabilistic,,,14,24.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,5.0,MET,0.009,,,4.736,retime_s2_8_reg/D,269,42,42,14870.432007,,,,,,,,,25.9324,7.55136,10.378200000000001,14.5042,1.05,,,,,,14,24.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,5.5,MET,0.007,,,5.209,retime_s2_4_reg/D,298,39,39,15587.221385499999,,,,,,,,,24.3609,7.87358,8.36662,15.1079,0.886364,,,,,,14,22.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,6.4,MET,0.006,,,5.756,retime_s1_13_reg/D,243,27,27,13331.049614,,,,,,,,,17.461199999999998,5.607220000000001,5.12318,11.8107,0.527344,,,probabilistic,,,15,24.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,8.0,MET,0.006,,,7.334,retime_s1_22_reg/D,241,30,30,13159.5062595,,,,,,,,,14.399199999999999,4.10557,4.43731,9.493110000000001,0.46875,,,probabilistic,,,12,21.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,10.4,MET,0.775,,,8.992,retime_s1_5_reg/D,211,30,30,12273.592926,,,,,,,,,10.3176,2.68756,3.4949,6.46211,0.360577,,,probabilistic,,,10,19.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on_reset,2.05,VIOLATED,-0.903,,,2.334,retime_s1_34_reg/D,1005,99,99,48330.642154,,,,,,,,,171.44400000000002,65.5578,60.2498,105.158,6.0365899999999995,,,probabilistic,,,49,57.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on_reset,2.56,VIOLATED,-0.427,,,2.326,retime_s1_18_reg/D,879,99,99,43732.76571125,,,,,,,,,128.306,45.957,47.4945,75.97710000000001,4.8339799999999995,,,probabilistic,,,35,43.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on_reset,3.2,MET,0.0,,,2.576,retime_s1_5_reg/D,382,48,48,19505.255002500002,,,,,,,,,50.0482,17.1439,18.596,29.5772,1.875,,,probabilistic,,,18,28.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on_reset,4.0,MET,0.006,,,3.738,retime_s2_14_reg/D,297,41,41,15945.680446999999,,,,,,,,,33.848000000000006,10.8903,12.8682,19.6985,1.28125,,,probabilistic,,,15,24.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on_reset,5.0,MET,0.009,,,4.736,retime_s2_8_reg/D,269,42,42,14870.432007,,,,,,,,,25.9324,7.55136,10.378200000000001,14.5042,1.05,,,,,,14,23.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,3.6,VIOLATED,-0.438,,,3.754,out_q_reg[3]/D,554,24,0,24996.223104999997,,,,,,,,,50.2516,22.238999999999997,9.34991,40.0683,0.833333,,,probabilistic,,,36,44.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,3.62,VIOLATED,-0.372,,,3.754,out_q_reg[3]/D,542,24,0,24697.15926125,,,,,,,,,49.719899999999996,22.0887,9.18247,39.7087,0.828729,,,,,,36,45.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,3.94,VIOLATED,-0.003,,,3.658,out_q_reg[2]/D,533,24,0,24483.9657075,,,,,,,,,43.9614,19.2163,8.72066,34.479299999999995,0.761421,,,,,,38,46.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,4.09,VIOLATED,-0.049,,,3.855,out_q_reg[7]/D,464,24,0,21965.729078750002,,,,,,,,,38.7105,16.5976,8.54896,29.428,0.733496,,,,,,27,36.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,4.17,MET,0.0,,,3.885,out_q_reg[7]/D,426,24,0,20500.045426,,,,,,,,,35.4858,15.358500000000001,7.77899,26.9874,0.719424,,,,,,13,21.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,4.25,MET,0.0,,,4.004,out_q_reg[7]/D,413,24,0,19555.821745499998,,,,,,,,,34.4629,14.7456,7.44883,26.3081,0.705882,,,,,,12,20.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,4.8,MET,0.001,,,4.515,out_q_reg[7]/D,337,24,0,16777.0498465,,,,,,,,,24.9824,9.768799999999999,6.110670000000001,18.2467,0.625,,,probabilistic,,,9,18.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,5.0,MET,0.002,,,4.404,q1_reg[15]/D,312,24,0,15490.233743,,,,,,,,,21.8376,8.16933,5.81095,15.4267,0.6,,,,,,8,18.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,5.5,MET,0.007,,,5.19,out_q_reg[3]/D,247,24,0,13344.961542500001,,,,,,,,,16.958399999999997,5.5237300000000005,5.1531199999999995,11.2598,0.545455,,,,,,6,15.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,6.4,MET,0.011,,,6.088,out_q_reg[3]/D,234,24,0,12710.44080875,,,,,,,,,14.2052,4.46254,4.320860000000001,9.415619999999999,0.46875,,,probabilistic,,,7,16.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,8.0,MET,0.003,,,7.712,out_q_reg[7]/D,206,24,0,11824.750369500001,,,,,,,,,10.1061,2.82302,3.3358,6.395320000000001,0.375,,,probabilistic,,,6,16.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,retimed,off,10.4,MET,1.184,,,8.932,out_q_reg[6]/D,186,24,0,11262.8623895,,,,,,,,,7.78376,2.03439,2.5448799999999996,4.950419999999999,0.288462,,,probabilistic,,,6,15.0,,
r01_reset_backward_barrier,A - reset / initial state,innovus,23.12-s091_1,orig,,5.0,,,,,,,277,42,42,,7531.135,0.008,57.019,0.27,4.352,0.012,,,16.21917427,3.95144673,,,0.0,7.596,8.623,probabilistic,,,60,79.0,,
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,directive,unsupported,3.6,VIOLATED,-11.5327,,,14.8155,,249,32,,,,,,,,,,,16.2955,4.2540700000000005,,,,,,vectorless,,,1,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,directive,unsupported,4.8,VIOLATED,-10.3327,,,14.8155,,249,32,,,,,,,,,,,12.2217,3.19055,,,,,,vectorless,,,1,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,directive,unsupported,6.4,VIOLATED,-8.7327,,,14.8155,,249,32,,,,,,,,,,,9.166260000000001,2.3929099999999996,,,,,,vectorless,,,1,1.0,eae79ae3bec9,uncommitted
