bench,class,latency_preserving,primary_metric,tool,variant,mode,fmax_mhz,fmax_is_lower_bound,min_period_ns,n_runs,n_met,cells_at_fmax,seq_at_fmax,area_at_fmax_um2,wirelength_um,power_mw,compile_seconds_at_fmax
r03_async_reset_blocker,A - reset / initial state,true,fmax,genus,orig,on,250.0,,4.0,5,3,270,37,15123.6402295,,31.2937,23.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,genus,retimed,off,200.0,,5.0,5,2,251,24,13721.07897525,,23.8065,16.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,openroad_syn,directive,unsupported,,,,5,0,225,32,,,36.5336,1.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,openroad_syn,orig,unsupported,,,,5,0,225,32,,,36.5336,1.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,openroad_syn,retimed,unsupported,,,,5,0,215,32,,,36.1245,1.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,vivado,directive,on,119.0,,8.4,5,2,84,32,,,112.0,43.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,vivado,orig,off,119.0,,8.4,5,2,84,32,,,112.0,41.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,vivado,orig,on,119.0,,8.4,5,2,84,32,,,112.0,36.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,vivado,retimed,off,142.9,,7.0,5,3,84,32,,,117.0,43.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,yosys,directive,off,,,,1,0,303,24,6971.328,,17.6,2.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,yosys,directive,on,,,,5,0,303,24,10067.5008,,36.6,2.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,yosys,orig,off,,,,5,0,303,24,6971.328,,39.1,2.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,yosys,orig,on,,,,5,0,303,24,10067.5008,,36.6,2.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,yosys,retimed,off,,,,5,0,306,24,6886.656,,39.4,2.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,yosys,retimed,on,,,,1,0,306,24,10527.552,,18.2,2.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,genus,directive,off,333.3,,3.0,5,4,425,41,21255.02458525,,55.817699999999995,31.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,genus,orig,off,153.8,,6.5,5,1,376,24,17732.14016,,22.8663,19.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,genus,orig,on,333.3,,3.0,5,4,425,41,21255.02458525,,55.817699999999995,31.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,genus,retimed,off,200.0,,5.0,5,2,242,24,13069.58853,,22.5426,17.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,openroad_syn,directive,unsupported,,,,5,0,225,32,,,31.293799999999997,2.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,openroad_syn,orig,unsupported,,,,5,0,225,32,,,31.293799999999997,1.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,openroad_syn,retimed,unsupported,,,,5,0,215,32,,,31.0515,1.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,vivado,directive,on,119.0,,8.4,5,2,83,32,,,112.0,36.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,vivado,orig,off,119.0,,8.4,5,2,83,32,,,112.0,86.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,vivado,orig,on,119.0,,8.4,5,2,83,32,,,112.0,41.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,vivado,retimed,off,119.0,,8.4,5,2,83,32,,,112.0,35.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,yosys,directive,off,,,,1,0,303,24,6553.6128,,15.7,2.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,yosys,directive,on,,,,5,0,303,24,9649.7856,,33.300000000000004,2.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,yosys,orig,off,,,,5,0,303,24,6553.6128,,34.9,2.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,yosys,orig,on,,,,5,0,303,24,9649.7856,,33.300000000000004,2.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,yosys,retimed,off,,,,5,0,306,24,6525.3888,,35.5,1.0
r04_init_only_no_reset,A - reset / initial state,true,fmax,yosys,retimed,on,,,,1,0,306,24,10166.2848,,17.0,2.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,genus,directive,off,396.8,,2.52,9,6,569,128,33711.062101999996,,79.7886,19.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,genus,orig,off,317.5,,3.15,9,5,574,70,31119.600682750002,,55.101499999999994,16.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,genus,orig,on,396.8,,2.52,9,6,566,157,35543.54934875,,90.9367,19.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,genus,retimed,off,317.5,,3.15,9,5,545,70,29827.66082175,,52.143,14.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,innovus,directive,pnr,317.5,yes,3.15,1,1,507,111,,37704.445,71.42541005,82.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,innovus,orig,pnr,238.1,yes,4.2,1,1,479,70,,26879.265,38.29406184,99.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,innovus,retimed,pnr,238.1,yes,4.2,1,1,619,118,,37323.02,58.2906289,89.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,openroad_syn,directive,unsupported,,,,5,0,2721,70,,,70.6477,2.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,openroad_syn,orig,unsupported,,,,5,0,2721,70,,,70.6477,2.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,openroad_syn,retimed,unsupported,,,,5,0,5066,117,,,111.943,4.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,vivado,directive,on,125.0,,8.0,5,4,192,99,,,126.0,40.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,vivado,orig,off,125.0,,8.0,5,4,187,70,,,125.0,44.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,vivado,orig,on,125.0,,8.0,5,4,187,70,,,125.0,102.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,vivado,retimed,off,125.0,,8.0,5,4,217,117,,,129.0,36.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,yosys,directive,off,142.9,yes,7.0,1,1,804,70,15616.3392,,13.299999999999999,2.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,yosys,directive,on,178.6,,5.6,5,3,874,70,18994.752,,17.2,2.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,yosys,orig,off,142.9,,7.0,5,2,804,70,15616.3392,,13.299999999999999,2.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,yosys,orig,on,178.6,,5.6,5,3,874,70,18994.752,,17.2,3.0
